Scenario;Feeling;Amount of feeling before;amount of feeling after;FL answers;AB answers;PA answers;ID answers
;;0,0;0;0;0;0,0;0;0;0;0;0;0;0;0
train;de;4,4;3;0;3;0,3;5;0;3;0;0;0;0;0
